lane,policy_id,v_policy,f_value,load_bearing,full_converged,first_half_converged,second_half_converged,local_error,local_error_gate,hard_gates_pass,max_H_residual,max_He_residual,max_owner_residual,max_photon_residual,max_thermal_residual,max_PDS_residual,max_OTS_energy_residual,minimum_species,elapsed_s,endpoint_sha256,failure_classifications
RECOMBINATION_WEIGHTED_AUDITOR,CELL_UPPER_STRICT__F_1P0,CELL_UPPER_STRICT,1.0,True,True,True,True,0.00011215917755613702,0.0002,True,4.499019533454818e-16,6.645593503553453e-16,1.9535593312450928e-16,1.2529413882459307e-16,9.997448581788136e-13,0.0,0.0,1.4081849310030938e-154,2.1101082360000873,30bcfd49bda6097dc49342f60b1db5ad29645b4f3b00fae60a98677aa821a387,[]
RECOMBINATION_WEIGHTED_AUDITOR,ADAPTER_TABLE_LOW_STRICT__F_0P1,ADAPTER_TABLE_LOW_STRICT,0.1,False,True,True,True,0.00011221962646779104,0.0002,True,4.610991455390949e-16,6.591581723202042e-16,1.953502218998158e-16,1.4499001029117072e-16,9.999800515003986e-13,0.0,1.104873207114211e-16,1.4082075006267297e-154,1.699796700000661,2981f4bbb30d25f3a66158c28dcf00e4c07a9e9bde45bb153558d1b9163a0ef9,[]
RECOMBINATION_WEIGHTED_AUDITOR,ADAPTER_TABLE_LOW_STRICT__F_1P0,ADAPTER_TABLE_LOW_STRICT,1.0,False,True,True,True,0.00011214759168964861,0.0002,True,4.894047107081131e-16,6.63869132192013e-16,1.9535593312450928e-16,1.4587336198737151e-16,9.971924279681941e-13,0.0,0.0,1.4081848063563548e-154,1.8517755319990101,09c0780deeb04c57b9624023646f34a603b22dcea0e9a39e4d84614ad72d3393,[]
RECOMBINATION_WEIGHTED_AUDITOR,ADAPTER_TABLE_HIGH_STRICT__F_0P1,ADAPTER_TABLE_HIGH_STRICT,0.1,False,True,True,True,0.00011221962662055773,0.0002,True,4.958230254581829e-16,6.582308018166442e-16,1.9535593312450928e-16,1.2507323360390194e-16,9.994624567869804e-13,0.0,1.1013754059952539e-16,1.408207437570954e-154,1.5886346609995599,4766dccaf427c06989c32963b30eb8b0418d4d21be71f05f626579c8d1d08ceb,[]
RECOMBINATION_WEIGHTED_AUDITOR,ADAPTER_TABLE_HIGH_STRICT__F_1P0,ADAPTER_TABLE_HIGH_STRICT,1.0,False,True,True,True,0.00011214759157596177,0.0002,True,4.75885719384694e-16,6.63988421928652e-16,1.953502218998158e-16,1.4499001029117072e-16,9.991012536671196e-13,0.0,0.0,1.408184853955133e-154,1.9092071149998446,cdb8741cfa35e27f3b70c830482cb8ec3b504f0abc4dc2e4894ccc7adf1b35f7,[]
SCRIPT_SELF_SHIELDING_AUDITOR,CELL_LOWER_STRICT__F_0P1,CELL_LOWER_STRICT,0.1,True,True,True,True,0.0001122176250216711,0.0002,True,5.076580946628851e-16,6.623290330519454e-16,2.055845120860907e-16,1.4587336198737151e-16,9.994836823179219e-13,0.0,1.1060060096106027e-16,1.4082077611417307e-154,1.9253709879994858,dd41ba228b9cd1a9ea9e6397cf9c701fdf585d22026748bb3169e755d733c3b6,[]
SCRIPT_SELF_SHIELDING_AUDITOR,CELL_LOWER_STRICT__F_1P0,CELL_LOWER_STRICT,1.0,True,True,True,True,0.0001121450575478633,0.0002,True,5.019257069735694e-16,6.6236078664018395e-16,1.9535593312450928e-16,1.4499001029117072e-16,9.97529047985811e-13,0.0,0.0,1.4081845514609384e-154,2.1021079389993247,4824cbd8fa68c2e6a791e3c69271e940d498443a63e0e47047223c5731308f32,[]
SCRIPT_SELF_SHIELDING_AUDITOR,CELL_UPPER_STRICT__F_0P1,CELL_UPPER_STRICT,0.1,True,True,True,True,0.00011222894441509368,0.0002,True,4.439314932187756e-16,6.615184007363631e-16,1.9535593312450928e-16,0.0,9.999223364871363e-13,0.0,1.1036759815862801e-16,1.4082073620878936e-154,1.8828393519997917,e2bbf5affa276b8f0a3d7d6def7b6db935da7258c9d74593e8e71e05896db8b9,[]
SCRIPT_SELF_SHIELDING_AUDITOR,CELL_UPPER_STRICT__F_1P0,CELL_UPPER_STRICT,1.0,True,True,True,True,0.00011215917755613702,0.0002,True,4.499019533454818e-16,6.645593503553453e-16,1.9535593312450928e-16,1.2529413882459307e-16,9.997448581788136e-13,0.0,0.0,1.4081849310030938e-154,1.9488314510008422,30bcfd49bda6097dc49342f60b1db5ad29645b4f3b00fae60a98677aa821a387,[]
SCRIPT_SELF_SHIELDING_AUDITOR,ADAPTER_TABLE_LOW_STRICT__F_0P1,ADAPTER_TABLE_LOW_STRICT,0.1,False,True,True,True,0.00011221962646779104,0.0002,True,4.610991455390949e-16,6.591581723202042e-16,1.9535593312450928e-16,1.4499001029117072e-16,9.999800515003986e-13,0.0,1.104873207114211e-16,1.4082075006267297e-154,1.8744571220004218,2981f4bbb30d25f3a66158c28dcf00e4c07a9e9bde45bb153558d1b9163a0ef9,[]
SCRIPT_SELF_SHIELDING_AUDITOR,ADAPTER_TABLE_LOW_STRICT__F_1P0,ADAPTER_TABLE_LOW_STRICT,1.0,False,True,True,True,0.00011214759168964861,0.0002,True,4.894047107081131e-16,6.63869132192013e-16,1.9535022189981578e-16,1.4587336198737151e-16,9.971924279681941e-13,0.0,0.0,1.4081848063563548e-154,2.052610289999393,09c0780deeb04c57b9624023646f34a603b22dcea0e9a39e4d84614ad72d3393,[]
SCRIPT_SELF_SHIELDING_AUDITOR,ADAPTER_TABLE_HIGH_STRICT__F_0P1,ADAPTER_TABLE_HIGH_STRICT,0.1,False,True,True,True,0.00011221962662055773,0.0002,True,4.958230254581829e-16,6.582308018166442e-16,1.9535593312450928e-16,1.2507323360390194e-16,9.994624567869804e-13,0.0,1.1013754059952539e-16,1.408207437570954e-154,1.8161711559996547,4766dccaf427c06989c32963b30eb8b0418d4d21be71f05f626579c8d1d08ceb,[]
SCRIPT_SELF_SHIELDING_AUDITOR,ADAPTER_TABLE_HIGH_STRICT__F_1P0,ADAPTER_TABLE_HIGH_STRICT,1.0,False,True,True,True,0.00011214759157596177,0.0002,True,4.75885719384694e-16,6.63988421928652e-16,1.953502218998158e-16,1.4499001029117072e-16,9.991012536671196e-13,0.0,0.0,1.408184853955133e-154,2.0752767770009086,cdb8741cfa35e27f3b70c830482cb8ec3b504f0abc4dc2e4894ccc7adf1b35f7,[]
